Binary_class,MAE,R2,n_points,n_systems
Alcohols_Aldehydes,0.015140274687956418,0.9960446845140566,49,3
Halogenated Derivatives_Unsaturated Hydrocarbons,0.015327591663320934,0.9927972040009818,85,5
Amines_Naphtenic Hydrocarbons,0.015692938215369483,0.9967981952495538,35,2
Halogenated Derivatives_Ketones,0.015891342698523617,0.9929921342188354,66,3
Amides_Amines,0.015936736886740036,0.9962885105207387,35,2
Other Nitrogen Derivatives_Paraffinic Hydrocarbons,0.016054968147909788,0.9948403954747862,33,2
Ethers_Nitriles,0.017544983824563088,0.9939716067983846,69,3
Alcohols_Ethers,0.019242222028070126,0.9894821905505723,484,36
Amines_Aromatics,0.02002595591546862,0.9848535977025572,84,11
Alcohols_Paraffinic Hydrocarbons,0.021442899710474927,0.9670000378780572,1684,106
Alcohols_Naphtenic Hydrocarbons,0.021565944869425886,0.9785739923107768,177,14
Acids_Naphtenic Hydrocarbons,0.023342816292964738,0.9673159616988215,36,2
Ethers_Naphtenic Hydrocarbons,0.02544388726861012,0.9797869081919783,68,3
Naphtenic Hydrocarbons_Other Nitrogen Derivatives,0.029340680513810266,0.9872259292786,22,1
Esters_Paraffinic Hydrocarbons,0.02968066051741248,0.9584695466995283,164,8
Inorganics_Ketones,0.03115836057774381,0.9696498589787225,18,1
Alcohols_Amines,0.03274455854846887,0.9423909855728783,104,9
Acids_Ketones,0.03426878730791528,0.9832082445487751,28,2
Acids_Amides,0.036311737060117213,0.9785733884918478,37,2
Acids_Paraffinic Hydrocarbons,0.03660161072332914,0.9769843236087591,106,7
Halogenated Derivatives_Paraffinic Hydrocarbons,0.03788326226079263,0.9049076789537728,479,31
Ethers_Inorganics,0.038548610612788164,0.7218839915626193,44,2
Halogenated Derivatives_Naphtenic Hydrocarbons,0.03953160285463095,0.8920377549941055,152,9
Acids_Esters,0.04151645132581235,0.972449077781427,78,6
Alcohols_Sulfur Derivatives,0.042045945482173226,0.8789436752920906,195,11
Esters_Inorganics,0.04381979179211958,0.9590278726855772,18,2
Acids_Acids,0.045375699528530614,0.9419018330365885,35,3
Acids_Inorganics,0.057443651408973305,0.9461944977040578,14,1
Inorganics_Other Nitrogen Derivatives,0.06459946438830298,0.8182934947740153,36,2
Ethers_Halogenated Derivatives,0.06461388037304297,0.773135875683024,336,19
Ketones_Paraffinic Hydrocarbons,0.06749349075125305,0.9001620805668685,61,5
Ketones_Naphtenic Hydrocarbons,0.07340294014381488,0.5654000192415183,136,7
Aromatics_Ethers,0.08784822777074222,0.6932446218360062,45,3
Amines_Paraffinic Hydrocarbons,0.10271070962468327,0.5656384840184765,322,24
Amines_Inorganics,0.11314846318127507,0.5907825776068631,68,3
Naphtenic Hydrocarbons_Sulfur Derivatives,0.11596956144575708,0.6531251358410222,22,1
Acids_Halogenated Derivatives,0.3383566881538328,-0.30537013188373496,21,1
